element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,player_id,first_name,second_name,web_name,team_name,position,status,chance_of_playing_next_round,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,understat_id,fpl_roll_min_3,fpl_roll_min_5,fpl_prev_min_1,fpl_prev_min_2,rotation_risk,match_datetime,xG90_3,xA90_3,npxG90_3,xG90_5,xA90_5,npxG90_5,xG90_10,xA90_10,npxG90_10,opponent_understat_team,match_datetime_opp,opp_goals_conceded_5,opp_xG_conceded_5,opp_goals_conceded_10,opp_xG_conceded_10,target_points,position_code,predicted_points,is_starting,is_captain,is_vice_captain
1,291,9,7,True,2026-03-14 17:30:00,2,0,30,False,90,0,0,1,0,0,0,0,0,0,3,0,28,20.0,0.0,0.0,2.0,3,6,0,0,1,0.0,0.0,0.0,1.05,60,75254,4525809,101174,25920,1,David,Raya Martín,Raya,Arsenal,Goalkeeper,a,,4.0,4.0,4.0,9676.0,90.0,90.0,90.0,90.0,0,2026-03-04 23:59:59,0.0,0.0,0.0,0.0,0.00829824283719062,0.0,0.0,0.00414912141859531,0.0,Everton,2026-03-03 23:59:59,1.4,1.5252755425870417,1.4,1.482258834224194,1.0,1,4.218591343238977,True,False,False
5,291,9,9,True,2026-03-14 17:30:00,2,0,30,False,90,0,0,1,0,0,0,0,0,0,0,1,30,21.2,3.0,3.0,2.7,9,2,1,10,1,0.03,0.06,0.09,1.05,72,87571,5699276,103697,16126,5,Gabriel,dos Santos Magalhães,Gabriel,Arsenal,Defender,a,100.0,4.0,4.0,4.0,5613.0,90.0,90.0,90.0,90.0,0,2026-03-04 23:59:59,0.007250515744090066,0.3108289937178294,0.007250515744090066,0.023102064803242655,0.18649739623069764,0.023102064803242655,0.09479689393192527,0.09324869811534882,0.09479689393192527,Everton,2026-03-03 23:59:59,1.4,1.5252755425870417,1.4,1.482258834224194,4.0,2,4.228418768360734,True,False,False
136,292,20,6,True,2026-03-16 20:00:00,2,2,30,False,90,1,0,0,2,0,0,0,0,0,0,0,24,38.4,2.9,46.0,8.7,4,1,2,7,1,1.85,0.01,1.86,1.39,72,97260,4585196,223481,126221,136,Igor Thiago,Nascimento Rodrigues,Thiago,Brentford,Forward,a,100.0,4.0,4.0,2.0,13222.0,90.0,90.0,90.0,90.0,0,2026-03-03 23:59:59,0.6695840656757355,0.23019740233818684,0.6695840656757355,0.5539842069149017,0.14483989179134366,0.4017504394054413,0.7722153770215309,0.14257811845150764,0.695415830632229,Wolverhampton Wanderers,2026-03-03 23:59:59,1.0,2.479565383121371,0.9,1.773908652924001,4.0,4,5.496896374403237,True,False,True
190,293,4,0,True,2026-03-14 15:00:00,0,0,30,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,38,-1172,98697,813,1985,190,Hjalmar,Ekdal,Ekdal,Burnley,Defender,a,,4.0,4.0,4.0,11704.0,0.0,0.0,0.0,0.0,0,2026-01-17 23:59:59,0.0175738421579202,0.008633479475975033,0.0175738421579202,0.01054430529475212,0.00518008768558502,0.01054430529475212,0.058184695486369765,0.015302483640087516,0.058184695486369765,Brentford,2026-03-03 23:59:59,1.8,1.6959175173193213,1.6,1.4617615632712837,0.0,2,0.33890940711312906,False,False,False
225,294,15,2,True,2026-03-14 17:30:00,0,1,30,False,90,0,0,0,1,0,0,0,0,0,0,0,13,17.8,66.4,11.0,9.5,3,4,0,3,1,0.12,0.46,0.58,1.41,56,25584,1095350,43380,17796,225,Reece,James,James,Chelsea,Defender,a,100.0,1.0,1.0,4.0,8067.0,89.33333333333333,53.6,90.0,90.0,0,2026-03-04 23:59:59,0.0,0.06569528709287227,0.0,0.0,0.03938729399946373,0.0,0.026016086339950548,0.13120655014298976,0.026016086339950548,Newcastle United,2026-03-04 23:59:59,1.6,2.219490413926542,1.7,1.7771488069556653,0.0,2,4.468901141121972,True,False,False
233,294,15,0,True,2026-03-14 17:30:00,0,1,30,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,37,9225,227038,16930,7705,233,Josh,Acheampong,Acheampong,Chelsea,Defender,a,100.0,4.0,4.0,4.0,12535.0,0.3333333333333333,18.8,0.0,0.0,0,2026-02-21 23:59:59,0.0,0.0,0.0,0.0,0.03637835519706329,0.0,0.1066736071746542,0.012352070915773042,0.1066736071746542,Newcastle United,2026-03-04 23:59:59,1.6,2.219490413926542,1.7,1.7771488069556653,0.0,2,0.7129743698573769,False,False,False
249,294,15,2,True,2026-03-14 17:30:00,0,1,30,False,90,0,0,0,1,0,0,0,0,0,0,0,8,6.6,11.3,17.0,3.5,1,3,3,7,1,0.23,0.02,0.25,1.41,77,510343,6406195,533438,23095,249,João Pedro,Junqueira de Jesus,João Pedro,Chelsea,Forward,a,100.0,4.0,4.0,4.0,8272.0,84.33333333333333,83.4,84.0,90.0,0,2026-03-04 23:59:59,1.1416056297207606,0.0566046998501961,1.1416056297207606,0.9471971241279422,0.06517612073004866,0.9471971241279422,0.7482575310549144,0.06894554928225848,0.7482575310549144,Newcastle United,2026-03-04 23:59:59,1.6,2.219490413926542,1.7,1.7771488069556653,2.0,4,5.200605483352957,True,False,False
303,291,1,4,False,2026-03-14 17:30:00,2,0,30,False,90,0,0,0,2,0,0,0,0,0,0,0,15,16.8,11.3,0.0,2.8,8,3,1,12,1,0.0,0.01,0.01,2.7,52,5445,518205,34293,28848,303,James,Garner,Garner,Everton,Midfielder,a,,1.0,3.0,2.0,7438.0,90.0,90.0,90.0,90.0,0,2026-03-03 23:59:59,0.0399108231067657,0.13657156378030774,0.0399108231067657,0.03354697003960606,0.2509355649352073,0.03354697003960606,0.0814671272411942,0.30611621551215645,0.0814671272411942,Arsenal,2026-03-04 23:59:59,2.4,0.8295652875676749,2.1,0.6553397831507025,6.0,3,4.978645748776312,True,False,False
368,296,18,0,True,2026-03-15 16:30:00,1,1,30,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,38,6909,121703,11030,4121,368,Ármin,Pécsi,Pécsi,Liverpool,Goalkeeper,a,,4.0,4.0,4.0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sunderland,2026-03-14 23:59:59,0.6,1.8453385008499024,1.0,1.808987302146852,0.0,1,0.14069156622453666,False,False,False
373,296,18,2,True,2026-03-15 16:30:00,1,1,30,False,90,0,0,0,1,0,0,0,0,0,0,0,13,28.4,14.2,6.0,4.9,6,2,2,8,1,0.0,0.04,0.04,1.18,62,115453,4309760,171893,56440,373,Virgil,van Dijk,Virgil,Liverpool,Defender,a,,4.0,4.0,4.0,833.0,90.0,90.0,90.0,90.0,0,2026-03-03 23:59:59,0.40502847731113434,0.009849228585759765,0.40502847731113434,0.24891825169324874,0.01076850332319734,0.24891825169324874,0.15094208940863607,0.0073204282671213,0.15094208940863607,Sunderland,2026-03-14 23:59:59,0.6,1.8453385008499024,1.0,1.808987302146852,3.0,2,4.000072155946708,True,False,False
