id,first_name,second_name,web_name,team_name,element,minutes,total_points
3,Karl,Hein,Hein,Arsenal,3,0,0
4,Tommy,Setford,Setford,Arsenal,4,0,0
13,Brayden,Clarke,Clarke,Arsenal,13,0,0
14,Maldini,Kacurri,Kacurri,Arsenal,14,0,0
15,Josh,Nichols,Nichols,Arsenal,15,0,0
28,Ismeal,Kabia,Kabia,Arsenal,28,0,0
29,Albert,Sambi Lokonga,Sambi,Arsenal,29,0,0
711,Andre,Harriman-Annous,Harriman-Annous,Arsenal,711,0,0
759,Marli,Salmon,Salmon,Arsenal,759,0,0
34,Joe,Gauci,Gauci,Aston Villa,34,0,0
35,Filip,Marschall,Marschall,Aston Villa,35,0,0
45,Lino,da Cruz Sousa,Sousa,Aston Villa,45,0,0
46,Yasin,Özcan,Yasin,Aston Villa,46,0,0
51,Samuel,Iling-Junior,Iling Jr,Aston Villa,51,0,0
56,Enzo,Barrenechea,Barrenechea,Aston Villa,56,0,0
57,Lewis,Dobbin,Dobbin,Aston Villa,57,0,0
60,Ben,Broggio,Broggio,Aston Villa,60,0,0
63,Kadan,Young,Young,Aston Villa,63,0,0
65,Zépiqueno,Redmond,Redmond,Aston Villa,65,0,0
688,James,Wright,Wright,Aston Villa,688,0,0
701,Triston,Rowe,Rowe,Aston Villa,701,0,0
703,Sam,Proctor,Proctor,Aston Villa,703,0,0
710,Travis,Patterson,Patterson,Aston Villa,710,0,0
757,Ronnie,Hollingshead,Hollingshead,Aston Villa,757,0,0
768,Leon,Routh,Leon Routh,Aston Villa,768,0,0
781,TJ,Carroll,Carroll,Aston Villa,781,0,0
184,Etienne,Green,Green,Burnley,184,0,0
185,Václav,Hladký,Hladký,Burnley,185,0,0
189,Owen,Dodgson,Dodgson,Burnley,189,0,0
194,Jordan,Beyer,Jordan,Burnley,194,0,0
196,Shurandy,Sambo,Sambo,Burnley,196,0,0
203,Enock,Agyei,Boateng,Burnley,203,0,0
204,Darko,Churlinov,Churlinov,Burnley,204,0,0
212,Oluwaseun,Adewumi,Adewumi,Burnley,212,0,0
776,Oliver,Pimlott,Pimlott,Burnley,776,0,0
784,George,Brierley,Brierley,Burnley,784,0,0
820,Kian,McMahon-Brown,McMahon-Brown,Burnley,820,0,0
68,Will,Dennis,Dennis,Bournemouth,68,0,0
69,Callan,McKenna,McKenna,Bournemouth,69,0,0
70,Alex,Paulsen,Paulsen,Bournemouth,70,0,0
75,Matai,Akinmboni,Akinmboni,Bournemouth,75,0,0
76,Owen,Bevan,Bevan,Bournemouth,76,0,0
99,Daniel,Adu-Adjei,Adu-Adjei,Bournemouth,99,0,0
756,Malcom,DaCosta,DaCosta,Bournemouth,756,0,0
782,Fraser,Forster,Forster,Bournemouth,782,0,0
799,Charlie,Stevens,Stevens,Bournemouth,799,0,0
806,Christos,Mandas,Mandas,Bournemouth,806,0,0
102,Ellery,Balcombe,Balcombe,Brentford,102,0,0
103,Matthew,Cox,Cox,Brentford,103,0,0
104,Julian,Eyestone,Eyestone,Brentford,104,0,0
114,Benjamin,Arthur,Arthur,Brentford,114,0,0
115,Benjamin,Fredrick,Fredrick,Brentford,115,0,0
137,Iwan,Morgan,Morgan,Brentford,137,0,0
810,Luka,Bentt,Bentt,Brentford,810,0,0
819,Ollie,Shield,Shield,Brentford,819,0,0
823,Joshua,Stephenson,Stephenson,Brentford,823,0,0
824,Conor,McManus,McManus,Brentford,824,0,0
826,Riley,Owen,Owen,Brentford,826,0,0
140,Tom,McGill,McGill,Brighton,140,0,0
141,Carl,Rushworth,Rushworth,Brighton,141,0,0
142,Kjell,Scherpen,Scherpen,Brighton,142,0,0
155,Jacob,Slater,Slater,Brighton,155,0,0
156,Charlie,Tasker,Tasker,Brighton,156,0,0
165,Abdallah,Sima,Sima,Brighton,165,0,0
174,Malick,Yalcouyé,Yalcouye,Brighton,174,0,0
176,Adrian,Mazilu,Mazilu,Brighton,176,0,0
177,Andrew,Moran,Moran,Brighton,177,0,0
761,Freddie,Simmonds,Simmonds,Brighton,761,0,0
222,Mike,Penders,Penders,Chelsea,222,0,0
223,Gabriel,Słonina,Slonina,Chelsea,223,0,0
234,Aarón,Anselmino,Anselmino,Chelsea,234,0,0
248,Kendry,Páez Andrade,Paez,Chelsea,248,0,0
743,Landon,Emenalo,Emenalo,Chelsea,743,0,0
789,Max,Merrick,Merrick,Chelsea,789,0,0
803,Teddy,Sharman-Lowe,Sharman-Lowe,Chelsea,803,0,0
833,Mathis,Eboué,Eboué,Chelsea,833,0,0
834,Ryan,Kavuma-McQueen,Kavuma-McQueen,Chelsea,834,0,0
264,Rob,Holding,Holding,Crystal Palace,264,0,0
277,Malcolm,Ebiowei,Ebiowei,Crystal Palace,277,0,0
282,Franco,Umeh-Chibueze,Umeh,Crystal Palace,282,0,0
286,Zach,Marsh,Marsh,Crystal Palace,286,0,0
773,Dean,Benamar,Benamar,Crystal Palace,773,0,0
780,Ben,Casey,Casey,Crystal Palace,780,0,0
793,George,King,King,Crystal Palace,793,0,0
798,Danny,Imray,Imray,Crystal Palace,798,0,0
288,Mark,Travers,Travers,Everton,288,0,0
289,Harry,Tyrer,Tyrer,Everton,289,0,0
298,Reece,Welch,Welch,Everton,298,0,0
306,Callum,Bates,Bates,Everton,306,0,0
