team,position,player_name,club,caps,goals
Algeria,GK,MASTIL Melvin,FC Stade Nyonnais (SUI),2,0
Algeria,DF,MANDI Aissa,Lille OSC (FRA),122,8
Algeria,DF,ABADA Achref,USM Alger (ALG),10,1
Algeria,DF,TOUGAI Mohamed Amine,Espérance De Tunisie (TUN),30,2
Algeria,DF,BELAID Zineddine,JS Kabylie (ALG),20,1
Algeria,MF,ZERROUKI Ramiz,FC Twente (NED),55,3
Algeria,FW,MAHREZ Riyad,Al Ahli FC (KSA),119,40
Algeria,MF,AOUAR Houssem,Al Ittihad (KSA),25,6
Algeria,FW,GOUIRI Amine,Olympique Marseille (FRA),26,11
Algeria,MF,CHAIBI Fares,Eintracht Frankfurt (GER),34,3
Algeria,FW,HADJ MOUSSA Anis,Feyenoord Rotterdam (NED),17,2
Algeria,FW,BENBOUALI Nadhir,Györi ETO FC (HUN),5,2
Algeria,DF,HADJAM Jaouen,BSC Young Boys (SUI),20,3
Algeria,MF,BOUDAOUI Hicham,OGC Nice (FRA),36,0
Algeria,GK,BENBOT Oussama,USM Alger (ALG),4,0
Algeria,DF,BELGHALI Ra«k,Hellas Verona FC (ITA),16,2
Algeria,FW,AMOURA Mohamed,VfL Wolfsburg (GER),48,19
Algeria,MF,BENTALEB Nabil,Lille OSC (FRA),63,6
Algeria,FW,BOULBINA Adil,Al Duhail SC (QAT),12,5
Algeria,DF,BENSEBAINI Ramy,Borussia Dortmund (GER),85,9
Algeria,MF,MAZA Ibrahim,Bayer 04 Leverkusen (GER),20,2
Algeria,GK,ZIDANE Luca,Granada CF (ESP),9,0
Algeria,MF,TITRAOUI Yassine,Sporting Charleroi (BEL),5,0
Algeria,FW,GHEDJEMIS Fares,Frosinone (ITA),2,1
Algeria,DF,CHERGUI Samir,Paris FC (FRA),6,0
Argentina,GK,MUSSO Juan,Atlético De Madrid (ESP),4,0
Argentina,DF,TAGLIAFICO Nicolas,Olympique Lyonnais (FRA),78,1
Argentina,DF,MONTIEL Gonzalo,CA River Plate (ARG),40,2
Argentina,MF,PAREDES Leandro,CA Boca Juniors (ARG),79,5
Argentina,MF,DE PAUL Rodrigo,Inter Miami CF (USA),89,2
Argentina,MF,BARCO Valentin,RC Strasbourg (FRA),5,2
Argentina,FW,ALVAREZ Julian,Atlético De Madrid (ESP),54,14
Argentina,FW,MESSI Lionel,Inter Miami CF (USA),202,123
Argentina,MF,LO CELSO Giovani,Real Betis (ESP),68,5
Argentina,GK,RULLI Geronimo,Olympique Marseille (FRA),8,0
Argentina,MF,PALACIOS Exequiel,Bayer 04 Leverkusen (GER),41,0
Argentina,MF,GONZALEZ Nico,Atlético De Madrid (ESP),53,6
Argentina,FW,ALMADA Thiago,Atlético De Madrid (ESP),19,5
Argentina,FW,SIMEONE Giuliano,Atlético De Madrid (ESP),14,2
Argentina,FW,PAZ Nico,Como (ITA),11,1
Argentina,DF,OTAMENDI Nicolas,SL Ben«ca (POR),135,8
Argentina,FW,LOPEZ Jose Manuel,SE Palmeiras (BRA),6,0
Argentina,FW,MARTINEZ Lautaro,FC Internazionale Milano (ITA),80,38
Argentina,DF,MEDINA Facundo,Olympique Marseille (FRA),11,0
Argentina,DF,MOLINA Nahuel,Atlético De Madrid (ESP),60,1
Australia,GK,RYAN Mathew,Levante UD (ESP),104,0
Australia,DF,DEGENEK Milos,APOEL FC (CYP),57,1
Australia,DF,CIRCATI Alessandro,Parma (ITA),16,1
Australia,DF,ITALIANO Jacob,Grazer AK (AUT),7,0
Australia,DF,BOS Jordan,Feyenoord Rotterdam (NED),30,4
Australia,DF,GERIA Jason,Albirex Niigata (JPN),16,0
Australia,FW,LECKIE Mathew,Melbourne City FC (AUS),82,14
Australia,MF,METCALFE Connor,FC St. Pauli (GER),39,2
Australia,FW,TOURE Mohamed,Norwich City FC (ENG),12,2
Australia,FW,HRUSTIC Ajdin,SC Heracles Almelo (NED),38,3
Australia,FW,MABIL Awer,CD Castellón (ESP),38,10
Australia,GK,IZZO Paul,Randers FC (DEN),4,0
Australia,MF,ONEILL Aiden,New York City FC (USA),34,0
Australia,MF,DEVLIN Cameron,Heart Of Midlothian FC (SCO),5,0
Australia,DF,TREWIN Kai,New York City FC (USA),6,0
Australia,DF,BEHICH Aziz,Melbourne City FC (AUS),86,3
Australia,FW,IRANKUNDA Nestory,Watford FC (ENG),18,6
Australia,GK,BEACH Patrick,Melbourne City FC (AUS),5,0
Australia,DF,SOUTTAR Harry,Leicester City FC (ENG),41,11
Australia,FW,VOLPATO Cristian,US Sassuolo (ITA),3,0
Australia,DF,BURGESS Cameron,Swansea City AFC (WAL),29,0
Australia,MF,IRVINE Jackson,FC St. Pauli (GER),85,14
Australia,FW,VELUPILLAY Nishan,Melbourne Victory FC (AUS),9,3
Australia,MF,OKON-ENGSTLER Paul,Sydney FC (AUS),9,0
Australia,DF,HERRINGTON Lucas,Colorado Rapids (USA),5,0
Australia,FW,YENGI Tete,FC Machida Zelvia (JPN),3,1
Austria,GK,SCHLAGER Alexander,FC Red Bull Salzburg (AUT),29,0
Austria,DF,AFFENGRUBER David,Elche CF (ESP),1,0
Austria,MF,SCHLAGER Xaver,RB Leipzig (GER),54,4
Austria,DF,POSCH Stefan,1. FSV Mainz 05 (GER),55,5
Austria,MF,SEIWALD Nicolas,RB Leipzig (GER),50,1
Austria,FW,ARNAUTOVIC Marko,FK Crvena Zvezda (SRB),136,49
Austria,DF,ALABA David,Real Madrid C. F. (ESP),116,15
Austria,MF,SABITZER Marcel,Borussia Dortmund (GER),101,27
Austria,MF,GRILLITSCH Florian,SC Braga (POR),60,1
Austria,FW,GREGORITSCH Michael,FC Augsburg (GER),77,24
Austria,GK,WIEGELE Florian,FC Viktoria Plzeň (CZE),1,0
Austria,GK,PENTZ Patrick,Brøndby IF (DEN),18,0
Austria,DF,LIENHART Philipp,SC Freiburg (GER),43,3
Austria,DF,MWENE Phillip,1. FSV Mainz 05 (GER),32,0
Austria,MF,CHUKWUEMEKA Carney,Borussia Dortmund (GER),5,1
Austria,MF,SCHMID Romano,SV Werder Bremen (GER),37,4
Austria,MF,LJUBICIC Dejan,FC Schalke 04 (GER),9,1
Austria,MF,LAIMER Konrad,FC Bayern München (GER),60,7
Austria,FW,WIMMER Patrick,VfL Wolfsburg (GER),32,1
Austria,MF,PRASS Alexander,TSG Hoffenheim (GER),20,0
Austria,DF,FRIEDL Marco,SV Werder Bremen (GER),12,0
Austria,MF,WANNER Paul,PSV Eindhoven (NED),6,0
Austria,DF,SVOBODA Michael,Venezia FC (ITA),4,0
Austria,MF,SCHOEPF Alessandro,Wolfsberger AC (AUT),35,6
Belgium,GK,COURTOIS Thibaut,Real Madrid C. F. (ESP),112,0
Belgium,DF,DEBAST Zeno,Sporting CP (POR),26,1
Belgium,DF,THEATE Arthur,Eintracht Frankfurt (GER),35,1
Belgium,DF,MECHELE Brandon,Club Brugge (BEL),12,1
Belgium,MF,WITSEL Axel,Girona FC (ESP),138,12
Belgium,MF,DE BRUYNE Kevin,SSC Napoli (ITA),122,38
Belgium,FW,LUKAKU Romelu,SSC Napoli (ITA),129,91
Belgium,FW,LUKEBAKIO Dodi,SL Ben«ca (POR),31,6
Belgium,DF,MEUNIER Thomas,Lille OSC (FRA),82,10
Belgium,DF,DE WINTER Koni,AC Milan (ITA),8,0
Belgium,FW,DE KETELAERE Charles,Atalanta Bergamo (ITA),32,6
Belgium,DF,SEYS Joaquin,Club Brugge (BEL),5,0
Belgium,MF,MOREIRA Diego,RC Strasbourg (FRA),3,0
Belgium,MF,VANAKEN Hans,Club Brugge (BEL),37,7
Belgium,MF,SAELEMAEKERS Alexis,AC Milan (ITA),26,3
Belgium,MF,RASKIN Nicolas,Rangers FC (SCO),16,2
Belgium,DF,NGOY Nathan,Lille OSC (FRA),6,0
Belgium,FW,FERNANDEZ-PARDO Matias,Lille OSC (FRA),5,0
Brazil,MF,EDERSON SILVA,Atalanta Bergamo (ITA),4,0
Brazil,DF,MARQUINHOS,Paris Saint-Germain (FRA),109,7
Brazil,DF,ALEX SANDRO,CR Flamengo (BRA),46,2
Brazil,FW,VINICIUS JUNIOR,Real Madrid C. F. (ESP),53,13
Brazil,FW,NEYMAR JR,Santos FC (BRA),129,79
Brazil,FW,RAPHINHA,FC Barcelona (ESP),41,11
Brazil,GK,WEVERTON,Grêmio FBPA (BRA),11,0
Brazil,DF,DANILO,CR Flamengo (BRA),74,1
