player_id,fifa_id,display_name,first_name,last_name,country,country_abbr,group,squad_id,fantasy_position,fantasy_price
374,,Ladislav Krejcí,Ladislav,Krejcí,Czechia,CZE,A,15,DEF,4.4
378,,Robin Hranác,Robin,Hranác,Czechia,CZE,A,15,DEF,3.9
1405,,David Zima,David,Zima,Czechia,CZE,A,15,DEF,3.9
379,,Jaroslav Zeleny,Jaroslav,Zeleny,Czechia,CZE,A,15,DEF,3.9
375,,Tomás Holes,Tomás,Holes,Czechia,CZE,A,15,DEF,3.9
376,,David Jurásek,David,Jurásek,Czechia,CZE,A,15,DEF,3.9
380,,Vladimír Coufal,Vladimír,Coufal,Czechia,CZE,A,15,DEF,3.6
381,,Stepán Chaloupek,Stepán,Chaloupek,Czechia,CZE,A,15,DEF,3.5
382,,Patrik Schick,Patrik,Schick,Czechia,CZE,A,15,FWD,7.3
1427,,Adam Hlozek,Adam,Hlozek,Czechia,CZE,A,15,FWD,6.5
1425,,Jan Kuchta,Jan,Kuchta,Czechia,CZE,A,15,FWD,5.5
383,,Tomás Chory,Tomás,Chory,Czechia,CZE,A,15,FWD,5.3
384,,Mojmír Chytil,Mojmír,Chytil,Czechia,CZE,A,15,FWD,4.9
387,,Matej Kovár,Matej,Kovár,Czechia,CZE,A,15,GK,4.1
1400,,Jindrich Stanek,Jindrich,Stanek,Czechia,CZE,A,15,GK,4
388,,Lukás Hornícek,Lukás,Hornícek,Czechia,CZE,A,15,GK,3.8
397,,Pavel Sulc,Pavel,Sulc,Czechia,CZE,A,15,MID,5.9
396,,Lukás Provod,Lukás,Provod,Czechia,CZE,A,15,MID,5.9
395,,Michal Sadílek,Michal,Sadílek,Czechia,CZE,A,15,MID,5.6
393,,Tomás Soucek,Tomás,Soucek,Czechia,CZE,A,15,MID,5.6
391,,Vladimír Darida,Vladimír,Darida,Czechia,CZE,A,15,MID,5.3
390,,Lukás Cerv,Lukás,Cerv,Czechia,CZE,A,15,MID,5.3
1413,,David Doudera,David,Doudera,Czechia,CZE,A,15,MID,5.1
373,,Denis Visinsky,Denis,Visinsky,Czechia,CZE,A,15,MID,4.9
1411,,Alexandr Sojka,Alexandr,Sojka,Czechia,CZE,A,15,MID,4.5
